x-axis,MATH
Hertz,dBV
+72.400E+03,-55.16406E+00
+72.500E+03,-55.20313E+00
+72.600E+03,-55.28125E+00
+72.700E+03,-55.32031E+00
+72.800E+03,-55.32031E+00
+72.900E+03,-55.32031E+00
+73.000E+03,-55.28125E+00
+73.100E+03,-55.28125E+00
+73.200E+03,-55.20313E+00
+73.300E+03,-55.12500E+00
+73.400E+03,-55.00781E+00
+73.500E+03,-54.89063E+00
+73.600E+03,-54.65625E+00
+73.700E+03,-54.34375E+00
+73.800E+03,-54.07031E+00
+73.900E+03,-53.75781E+00
+74.000E+03,-53.48438E+00
+74.100E+03,-53.25000E+00
+74.200E+03,-53.09375E+00
+74.300E+03,-52.97656E+00
+74.400E+03,-52.93750E+00
+74.500E+03,-52.93750E+00
+74.600E+03,-53.05469E+00
+74.700E+03,-53.21094E+00
+74.800E+03,-53.40625E+00
+74.900E+03,-53.64063E+00
+75.000E+03,-53.87500E+00
+75.100E+03,-54.10938E+00
+75.200E+03,-54.26563E+00
+75.300E+03,-54.42188E+00
+75.400E+03,-54.57813E+00
+75.500E+03,-54.69531E+00
+75.600E+03,-54.81250E+00
+75.700E+03,-54.89063E+00
+75.800E+03,-54.92969E+00
+75.900E+03,-54.89063E+00
+76.000E+03,-54.85156E+00
+76.100E+03,-54.53906E+00
+76.200E+03,-54.22656E+00
+76.300E+03,-53.95313E+00
+76.400E+03,-53.64063E+00
+76.500E+03,-53.40625E+00
+76.600E+03,-53.32813E+00
+76.700E+03,-53.32813E+00
+76.800E+03,-53.40625E+00
+76.900E+03,-53.56250E+00
+77.000E+03,-53.87500E+00
+77.100E+03,-54.22656E+00
+77.200E+03,-54.65625E+00
+77.300E+03,-55.16406E+00
+77.400E+03,-55.75000E+00
+77.500E+03,-56.25781E+00
+77.600E+03,-56.76563E+00
+77.700E+03,-57.42969E+00
+77.800E+03,-58.21094E+00
+77.900E+03,-59.14844E+00
+78.000E+03,-60.90625E+00
+78.100E+03,-62.93750E+00
+78.200E+03,-64.81250E+00
+78.300E+03,-66.57031E+00
+78.400E+03,-68.17188E+00
+78.500E+03,-68.56250E+00
+78.600E+03,-68.28906E+00
+78.700E+03,-67.66406E+00
+78.800E+03,-66.68750E+00
+78.900E+03,-65.39844E+00
+79.000E+03,-63.79688E+00
+79.100E+03,-62.27344E+00
+79.200E+03,-60.86719E+00
+79.300E+03,-59.46094E+00
+79.400E+03,-58.17188E+00
+79.500E+03,-57.66406E+00
+79.600E+03,-57.39063E+00
+79.700E+03,-57.39063E+00
+79.800E+03,-57.70313E+00
+79.900E+03,-58.25000E+00
+80.000E+03,-59.14844E+00
+80.100E+03,-60.16406E+00
+80.200E+03,-61.25781E+00
+80.300E+03,-62.39063E+00
+80.400E+03,-63.64063E+00
+80.500E+03,-64.81250E+00
+80.600E+03,-65.75000E+00
+80.700E+03,-66.41406E+00
+80.800E+03,-66.88281E+00
+80.900E+03,-66.68750E+00
+81.000E+03,-65.63281E+00
+81.100E+03,-64.46094E+00
+81.200E+03,-63.09375E+00
+81.300E+03,-61.57031E+00
+81.400E+03,-60.20313E+00
+81.500E+03,-59.14844E+00
+81.600E+03,-58.25000E+00
+81.700E+03,-57.42969E+00
